date,traf,hour,is_weekday,day,region,lower,upper,region2,predict,tech,kpi
2023-05-29 19:00:00,307718.9914236069,19,1,29,Absheron,,,0,,3G,data traf
2023-05-29 19:00:00,216755.07809257507,19,1,29,Aran,,,1,,3G,data traf
2023-05-29 19:00:00,518280.71007728577,19,1,29,Baku,,,2,,3G,data traf
2023-05-29 19:00:00,177395.44688796997,19,1,29,Ganja,,,3,,3G,data traf
2023-05-29 19:00:00,47228.78016471863,19,1,29,Lankaran,,,4,,3G,data traf
2023-05-29 19:00:00,21844.669408798218,19,1,29,Naxchivan,,,5,,3G,data traf
2023-05-29 19:00:00,32121.83222579956,19,1,29,Qarabag,,,6,,3G,data traf
2023-05-29 19:00:00,90557.79294490814,19,1,29,Quba,,,7,,3G,data traf
2023-05-29 19:00:00,71670.22860527039,19,1,29,Sheki,,,8,,3G,data traf
2023-05-29 20:00:00,317203.29703998566,20,1,29,Absheron,,,0,,3G,data traf
2023-05-29 20:00:00,230583.5983505249,20,1,29,Aran,,,1,,3G,data traf
2023-05-29 20:00:00,498492.6769351959,20,1,29,Baku,,,2,,3G,data traf
2023-05-29 20:00:00,184208.39478111267,20,1,29,Ganja,,,3,,3G,data traf
2023-05-29 20:00:00,48956.8540019989,20,1,29,Lankaran,,,4,,3G,data traf
2023-05-29 20:00:00,22773.02495956421,20,1,29,Naxchivan,,,5,,3G,data traf
2023-05-29 20:00:00,34151.579191207886,20,1,29,Qarabag,,,6,,3G,data traf
2023-05-29 20:00:00,102136.80367183684,20,1,29,Quba,,,7,,3G,data traf
2023-05-29 20:00:00,71931.06244659424,20,1,29,Sheki,,,8,,3G,data traf
2023-05-29 21:00:00,336162.49029636383,21,1,29,Absheron,,,0,,3G,data traf
2023-05-29 21:00:00,254656.526424408,21,1,29,Aran,,,1,,3G,data traf
2023-05-29 21:00:00,487220.18909454346,21,1,29,Baku,,,2,,3G,data traf
2023-05-29 21:00:00,201583.43437194824,21,1,29,Ganja,,,3,,3G,data traf
2023-05-29 21:00:00,60155.516224861145,21,1,29,Lankaran,,,4,,3G,data traf
2023-05-29 21:00:00,25914.30417060852,21,1,29,Naxchivan,,,5,,3G,data traf
2023-05-29 21:00:00,35926.86298274994,21,1,29,Qarabag,,,6,,3G,data traf
2023-05-29 21:00:00,118654.14434242249,21,1,29,Quba,,,7,,3G,data traf
2023-05-29 21:00:00,86887.16364002228,21,1,29,Sheki,,,8,,3G,data traf
2023-05-29 22:00:00,325015.82883644104,22,1,29,Absheron,,,0,,3G,data traf
2023-05-29 22:00:00,283719.1464252472,22,1,29,Aran,,,1,,3G,data traf
2023-05-29 22:00:00,457277.0182228088,22,1,29,Baku,,,2,,3G,data traf
2023-05-29 22:00:00,208402.19130134585,22,1,29,Ganja,,,3,,3G,data traf
2023-05-29 22:00:00,61322.9390335083,22,1,29,Lankaran,,,4,,3G,data traf
2023-05-29 22:00:00,31934.28401947021,22,1,29,Naxchivan,,,5,,3G,data traf
2023-05-29 22:00:00,38306.98697757721,22,1,29,Qarabag,,,6,,3G,data traf
2023-05-29 22:00:00,128180.32097816467,22,1,29,Quba,,,7,,3G,data traf
2023-05-29 22:00:00,89850.61138534546,22,1,29,Sheki,,,8,,3G,data traf
2023-05-29 23:00:00,3927194.552585602,23,1,29,Absheron,3419859.73527667,3750176.23478736,0,3585017.985032015,4G,data traf
2023-05-30 00:00:00,3150874.4343776703,0,1,30,Absheron,3345358.7361476263,3490348.026583812,0,3417853.381365719,4G,data traf
2023-05-30 01:00:00,2275983.9321403503,1,1,30,Absheron,2419653.466127333,2564415.7058925107,0,2492034.586009922,4G,data traf
2023-05-30 02:00:00,1512399.2065668106,2,1,30,Absheron,1606724.116870682,1701606.146481388,0,1654165.131676035,4G,data traf
2023-05-30 03:00:00,1024834.018611908,3,1,30,Absheron,1067765.8925818051,1117948.551497918,0,1092857.2220398616,4G,data traf
2023-05-30 04:00:00,745501.0921859741,4,1,30,Absheron,788239.1895691665,817605.0026801316,0,802922.096124649,4G,data traf
2023-05-30 05:00:00,662078.3988828659,5,1,30,Absheron,687163.3870532997,718654.3708727448,0,702908.8789630223,4G,data traf
2023-05-30 06:00:00,1004247.9586687088,6,1,30,Absheron,938988.0911255552,1014813.2111991786,0,976900.6511623668,4G,data traf
2023-05-30 07:00:00,1699715.384723663,7,1,30,Absheron,1595890.126132421,1686237.1729376705,0,1641063.6495350455,4G,data traf
2023-05-30 08:00:00,2389061.647696495,8,1,30,Absheron,2247206.6662559146,2405137.641433847,0,2326172.153844881,4G,data traf
2023-05-30 09:00:00,,9,1,30,Absheron,2826214.236066188,2960116.307407,0,2893165.271736593,4G,data traf
2023-05-30 10:00:00,,10,1,30,Absheron,3210429.4962058817,3329948.009618875,0,3270188.7529123784,4G,data traf
2023-05-30 11:00:00,,11,1,30,Absheron,3450993.366912249,3581844.110669519,0,3516418.738790884,4G,data traf
2023-05-30 12:00:00,,12,1,30,Absheron,3561369.491300248,3667125.504191409,0,3614247.4977458287,4G,data traf
2023-05-30 13:00:00,,13,1,30,Absheron,3741929.80605848,3841096.199908984,0,3791513.002983732,4G,data traf
2023-05-30 14:00:00,,14,1,30,Absheron,3741486.219173137,3818353.142051076,0,3779919.6806121054,4G,data traf
2023-05-30 15:00:00,,15,1,30,Absheron,3729428.980816525,3812839.9661953454,0,3771134.473505936,4G,data traf
2023-05-30 16:00:00,,16,1,30,Absheron,3701587.444632845,3802953.711101771,0,3752270.577867308,4G,data traf
2023-05-30 17:00:00,,17,1,30,Absheron,3594598.3687227145,3826328.2757946495,0,3710463.3222586825,4G,data traf
2023-05-30 18:00:00,,18,1,30,Absheron,3541807.119616076,3778566.9993629777,0,3660187.059489527,4G,data traf
2023-05-30 19:00:00,,19,1,30,Absheron,3558673.506758681,3808526.857204884,0,3683600.181981783,4G,data traf
2023-05-30 20:00:00,,20,1,30,Absheron,3744989.000091848,3986091.524727565,0,3865540.262409706,4G,data traf
2023-05-30 21:00:00,,21,1,30,Absheron,3985694.352815701,4249589.499545539,0,4117641.92618062,4G,data traf
2023-05-30 22:00:00,,22,1,30,Absheron,4032765.155494167,4286198.491878517,0,4159481.823686342,4G,data traf
2023-05-30 23:00:00,,23,1,30,Absheron,3419859.73527667,3750176.23478736,0,3585017.985032015,4G,data traf
