UserLabel,hwNetDevice,hwEventType,LocalDn,variable,value,up_threshold,down_threshold,status,Date,period,file,c_days
cbpadpt1b,None,1364884713210152010,NE=210200f,hwForwardedCCRNumber,2507.0,2388.0,2388.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1116,NE=210200f,hwForwardedCCRNumber,3098.0,2987.0,2987.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,-1,NE=210200f,hwUnforwardedCCRNumber,9.223372036854726e+18,9.223372036854728e+18,9.223372036854728e+18,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1a,10.64.46.101,11006.0,NE=2101fec,hwSessionTotalNumber,6219.0,6022.643272455312,-2472.7861295981684,1.0,2022-12-19 15:35:00,1M,hwBillingDCCSessionNumber,34413.0
cbpadpt1a,10.64.46.101,11006.0,NE=2101fec,hwSessionOnline0s,6285.0,6083.881645171016,-2406.7387880281594,1.0,2022-12-19 15:35:00,1M,hwBillingDCCSessionNumber,34413.0
cbpadpt1a,10.64.46.129,11006.0,NE=2101fec,hwSessionOnline300s,56.0,49.031553807165984,23.82558904997688,1.0,2022-12-19 15:35:00,1M,hwBillingDCCSessionNumber,34413.0
cbpadpt1a,10.25.0.6,1322.0,NE=2101fec,hwSessionOnlineMax,0.0,1.7303551543087017,0.1267877028341554,2.0,2022-12-19 15:35:00,1M,hwBillingDCCSessionNumber,34413.0
cbpadpt1a,10.220.45.67,1322.0,NE=2101fec,hwSessionOnlineTotalTime,2.0,1.748845691938092,-1.1334610765534765,1.0,2022-12-19 15:35:00,1M,hwBillingDCCSessionNumber,34413.0
cbpadpt1a,10.64.46.110,11006.0,NE=2101fec,hwSessionOnlineTotalTime,1289089.0,1228390.32403845,592997.8298077036,1.0,2022-12-19 15:35:00,1M,hwBillingDCCSessionNumber,34413.0
cbpadpt1a,10.64.46.101,11006.0,NE=2101fec,hwSuccessSessionCount,5688.0,5343.255131927741,-2221.112274784883,1.0,2022-12-19 15:35:00,1M,hwBillingDCCSessionNumber,34413.0
cbpadpt1a,10.64.46.101,11006.0,NE=2101fec,hwDCCSuccNumber,84.0,101.64410575237628,90.641608533338,2.0,2022-12-06 14:50:00,1M,hwBillingDCCMsgNumber,38066.0
cbpadpt1a,10.64.46.3,11006.0,NE=2101fec,hwDCCSuccNumber,98.0,99.7303551543087,98.12678770283416,2.0,2022-12-06 14:50:00,1M,hwBillingDCCMsgNumber,38066.0
cbpadpt1a,10.64.46.128,11006.0,NE=2101fec,hwCAPS,1.0,2.873212297165845,1.2696448456912983,2.0,2022-12-06 14:50:00,1M,hwBillingDCCMsgNumber,38067.0
cbpadpt1a,10.64.46.2,11006.0,NE=2101fec,hwCAPS,1.0,2.7303551543087017,1.1267877028341555,2.0,2022-12-06 14:50:00,1M,hwBillingDCCMsgNumber,38067.0
cbpadpt1a,10.64.46.5,11006.0,NE=2101fec,hwCAPS,1.0,2.8732122971658445,1.2696448456912983,2.0,2022-12-06 14:50:00,1M,hwBillingDCCMsgNumber,38066.0
