,0
514,UBBK0869
515,UBBK0873
516,UBBK0887
517,UBBK0888
518,UBBK0889
519,UBBK0895
520,UBBK0911
521,UBBK0913
522,UBBK0945
523,UBBK0951
524,UBBK0953
525,UBBK0967
526,UBBK0978
527,UBBK0979
528,UBBK0981
529,UBBK0991
530,UBBK1001
531,UBBK1003
532,UBBK1005
533,UBBK1007
534,UBBK1009
535,UBBK1011
536,UBBK1013
537,UBBK1015
538,UBBK1017
539,UBBK1021
540,UBBK1022
541,UBBK1023
542,UBBK1025
543,UBBK1027
544,UBBK1029
545,UBBK1031
546,UBBK1033
547,UBBK1035
548,UBBK1037
549,UBBK1039
550,UBBK1041
551,UBBK1043
552,UBBK1045
553,UBBK1047
554,UBBK1049
555,UBBK1051
556,UBBK1053
557,UBBK1055
558,UBBK1057
559,UBBK1059
560,UBBK1061
561,UBBK1063
562,UBBK1065
563,UBBK1066
564,UBBK1067
565,UBBK1069
566,UBBK1071
567,UBBK1072
568,UBBK1073
569,UBBK1074
570,UBBK1075
571,UBBK1077
572,UBBK1079
573,UBBK1082
574,UBBK1083
575,UBBK1084
576,UBBK1086
577,UBBK1087
578,UBBK1088
579,UBBK1089
580,UBBK1091
581,UBBK1093
582,UBBK1094
583,UBBK1095
584,UBBK1097
585,UBBK1098
586,UBBK1100
587,UBBK1104
588,UBBK1105
589,UBBK1107
590,UBBK1114
591,UBBK1115
592,UBBK1130
593,UBBK1139
594,UBBK1156
595,UBBK1161
596,UBBK1175
597,UBBK1177
598,UBBK1179
599,UBBK1183
600,UBBK1185
601,UBBK1187
602,UBBK1191
603,UBBK1194
604,UBBK1195
605,UBBK1212
606,UBBK1226
607,UBBK1227
608,UBBK1241
609,UBBK1243
610,UBBK1271
611,UBBK1281
612,UBBK1283
613,UBBK1284
614,UBBK1286
615,UBBK1289
616,UBBK1299
617,UBBK1315
618,UBBK1317
619,UBBK1323
620,UBBK1324
621,UBBK1325
622,UBBK1360
623,UBBK1366
